postalCode,city
S4C 9H1,Nicolehaven
S1N 5P8,New Tony
T3A9L1,Lake Jason
K9A8J3,Jefferyport
C4E3C1,Allenmouth
T5T 5L9,Lake Christina
X5V6T3,North Laura
R1N3T2,South Carol
B9E8V6,Serranoville
R4P 1B8,Jamesport
K3A 9J9,Montoyabury
E9T7L7,Christinestad
M5V1P2,Davisview
G5Y 2C8,Richardsonfort
X8E3C4,South Ericfort
R3X 8T7,Robinsonmouth
S9J 8S9,Scottmouth
R6B1E7,Nelsonview
R7N 8G7,New Brianview
L9S 7T3,Stephanieport
H8J9V2,West Paultown
K4T 8R6,East Tonyland
V2Y8X7,Valerieview
K7C 3M9,Spencerville
C6S6T2,Nelsonside
C1Y 8S5,South Richard
N6T6Y8,Francisstad
E9J 4J7,North Molly
A2H4C6,Brookston
A1J 6R5,West Kyleville
N8E 2L4,Livingstonport
J1A8H8,West Jenna
H5R 3S4,East Andrew
A5G 6R7,Christopherside
P9J9C6,Williamsview
P7A8Y3,New Natasha
Y2G3R3,New Deanna
V6J3E5,North Kennethside
L1H 2A5,South Brenda
P7J 8S4,South Steven
K5E2V8,Reidhaven
S4E 9E7,Courtneymouth
S9G1E7,Janetland
X1H9R3,North Zacharyshire
X6R3N5,North Markstad
E5X4R8,Byrdport
R8H 1S5,West Richard
V2Y1N8,West Michelleville
M7T7K9,Tonimouth
J7B4L8,Kleinberg
L1X 7V4,Autumnchester
K5X 1P9,North Christyfurt
T6R 9P5,New Sabrina
A9R 3P5,New David
S5J3H2,Piercemouth
J4T 7V5,Gloverburgh
S5H2P3,Amandamouth
P5A 9Y5,Lake Brettfurt
J6G7K8,New Annafort
H5T4V7,Victoriamouth
V4B7M2,Lake Willieshire
S1G4B6,New Vincent
T7M 2B7,Acostafort
A6C 2J1,Gregoryside
R1J2A9,Wendyborough
M4Y 7P1,Kimberlyfort
P3S1C9,East Carolynfort
N1E 9G8,Angelahaven
R6K 5P2,East Johnton
G4K 7A2,Reidbury
B2K 9M9,North Thomas
K7K 5S7,Jacksonburgh
A7C 6A2,New Sandraton
A9X5V3,New Sandy
P5J 4V5,Lake Justin
L2R7T2,East Brianna
T4T 6Y8,Finleytown
R6A 5C6,North Markfurt
G6H 2M6,South Bryanview
P2P9Y7,Lake Selena
C1L6J3,North Victoria
X8X4G6,Bernardstad
T3X6A6,Andersonmouth
A2A6X4,Sarahborough
J7K7M7,Elizabethchester
R9A3J3,Lindsaytown
N3J 8A8,Ryanstad
C8S2N6,Tatefurt
B3K9K2,Lake Lauren
H4V4V1,Gallowayport
T9N 8X6,Smithbury
